long	lat	Ve	Vn
46.37	39.51	3.3	9.6
45.66	39.84	4.6	10.1
45.14	40.91	4	7.4
44.74	40.15	2.5	9.1
44.53	41.83	1.1	5.8
44.5	40.23	3.6	8.1
44.49	42.45	1.3	2.8
44.11	40.18	2.5	7
43.95	40.61	2.2	7.2
43.89	41.54	0.9	4.2
43.75	42.98	1.5	0.3
43.54	42.49	0.7	-1
43.4	42.49	-1	1.9
43.4	42.35	2.6	4.8
43.38	42.58	0.4	-2
43.35	43.06	-2	-0.4
43.34	38.55	-5.3	12
43.17	40.69	0.7	5.2
43.13	42.47	1.7	3.2
43.03	39.72	1.2	6.7
42.91	39.4	-2.5	8.7
42.79	44.01	-0.6	1
42.67	43.74	0.3	1.7
42.47	42.02	1.6	4.1
42.26	44.89	-2.6	3
42.19	43.35	-0.9	-1.2
42.06	42.72	0.9	2.7
41.99	40.55	2.3	4.3
41.79	38.75	-5.1	14.4
41.56	43.79	0.5	0.8
41.56	43.79	0.5	0.8
41.34	41.37	-0.1	2.6
41.3	39.97	-0.9	5
40.81	40.44	0.2	2.5
40.65	37.25	-6.9	16.1
40.25	39.73	-2.7	4.9
39.81	37.85	-7.6	13.9
39.7	40.97	0.5	1.7
39.16	39.61	-19.6	9.1
38.23	37.75	-7.6	13.4
38.22	38.46	-12	10.9
37.96	39.45	-18.3	9.9
37.57	36.9	-8.5	12.3
37	37.52	-9.4	8.8
36.97	37.19	-9.8	10.3
36.34	41.3	-0.1	2.2
36.14	36.9	-11.1	8.6
36.13	36.05	-5.4	7.9
36.07	37.39	-12.2	11.8
35.94	36.46	-11.5	9
35.69	32.99	-2.2	11.2
35.21	42.02	-1.1	0.8
35.09	31.72	-0.2	6
34.88	40.45	-16.6	4.8
34.81	39.8	-21	4.4
34.8	39.11	-18.8	2.2
34.78	32.07	-2.3	8.6
34.55	36.9	-13.1	3.8
33.4	35.14	-5.3	4.1
33.19	37.38	-14.1	2.2
32.76	39.89	-20.8	-2.2
32.73	39.87	-20.8	-2.2
32.57	40.88	-8.1	-0.5
32.23	41.52	0.8	-1.1
32.16	36.43	-10	0.5
31.81	39.56	-20.6	-3.1
31.44	40.94	-3.9	-0.7
31.34	29.86	-2.1	5.7
30.89	29.51	-2	5.1
30.86	40.56	-15.9	-1.4
30.83	40.74	-7.2	-1.2
30.8	40.39	-19.9	-3.2
30.76	40.59	-13.1	-2.1
30.75	40.65	-9.9	0.8
30.68	40.54	-17.2	-1.3
30.68	40.55	-15.9	-1.7
30.66	40.63	-13	-3.2
30.64	38.77	-21.6	-3.2
30.64	40.61	-13.2	-1.2
30.64	39.66	-24.4	-2.6
30.61	36.83	-10.1	-8.7
30.3	37.69	-19.5	-8.4
30.13	40.69	-13.3	-0.9
30.13	40.74	-8.2	-2.3
30.03	40.47	-17.1	-1.3
29.93	40.42	-18.6	-2.4
29.91	40.44	-17.9	-2.6
29.68	40.36	-19.2	1
29.65	36.19	-11.1	-10.2
29.64	40.8	-5.7	0.6
29.58	40.67	-13.1	1
29.51	40.16	-21.5	-1.5
29.44	36.72	-13.4	-10.8
29.26	40.2	-21.5	-2.8
29.15	40.46	-20	1.1
29.14	40.64	-15.9	0
29.14	40.12	-20.1	-1.5
29.14	37.94	-21.5	-8.1
29.11	40.17	-21	-1.9
29.11	40.27	-21.2	-1
29.1	40.14	-23.5	-4.3
29.06	41.06	-2.5	-0.1
29.02	40.17	-22.6	-1
29.02	41.1	-1.5	-0.1
28.92	39.93	-24.2	-2.1
28.78	40.17	-20.3	-3.8
28.67	39.05	-20.9	-6.8
28.48	38.31	-22.7	-12.6
28.43	37.17	-16.9	-21.3
28.37	40.4	-21.4	-3.9
28.08	37.61	-19.3	-20.2
28	38.25	-21	-13.5
27.96	36.77	-13.6	-25.5
27.96	40.97	2.5	-1.5
27.91	39.72	-22.3	-5.3
27.87	39.01	-20.3	-10.9
27.84	37.2	-16	-25.6
27.82	40.4	-19.1	-2.5
27.78	35.95	-8	-28.9
27.78	41.83	0.6	-1.2
27.76	40.06	-23.7	-3.7
27.63	40.24	-18.2	-5
27.59	39.29	-15.9	-11.6
27.59	40.59	-15.3	-5.7
27.49	37.82	-19.8	-18.9
27.44	42.67	0.5	-0.8
27.42	39.78	-23.2	-9.6
27.42	37.03	-14.7	-25.3
27.39	36.68	-9	-30.7
27.39	40.81	-4.5	-5
27.32	39.02	-20.9	-13.7
27.31	38.71	-17.7	-15
27.3	40.38	-17.9	-6.2
27.27	39.58	-19.7	-6.1
27.23	31.35	-2.8	5.1
27.22	35.49	-11.5	-30.7
27.22	39.9	-19.3	-8.6
